代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
ST016Q01NA,ST016,,,整體來說，你對自己目前的生活有多滿意？,"Overall, how satisfied are you with your life as a whole these days?",整體來說，你對自己目前的生活有多滿意？,"Overall, how satisfied are you with your life as a whole these days?",0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,,,
ST021Q01TA,ST021,,,你來到〈施測國〉時幾歲？,How old were you when you arrived in <country of test>?,你來到〈施測國〉時幾歲？,How old were you when you arrived in <country of test>?,0 至 5 歲 | 6 至 11 歲 | 12 歲以上,0-5 years | 6-11 years | 12 years or more,,,
ST022Q01TA,ST022,,,你在家裡最常說哪一種語言？,What language do you speak at home most of the time?,你在家裡最常說哪一種語言？,What language do you speak at home most of the time?,施測語言 | 其他語言,Language of test | Other Language,,,
ST034Q01TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,我在學校覺得自己像個局外人（或被排擠在外）。,I feel like an outsider (or left out of things) at school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=2.46 | 同意=7.83 | 不同意=42.62 | 非常不同意=47.09,非常同意=4.62 | 同意=10.76 | 不同意=39.87 | 非常不同意=44.75,Table I.B1.3.62
ST034Q02TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,我在學校很容易交到朋友。,I make friends easily at school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=24.23 | 同意=54.6 | 不同意=17.54 | 非常不同意=3.63,非常同意=26.08 | 同意=53.93 | 不同意=15.3 | 非常不同意=4.69,Table I.B1.3.62
ST034Q03TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,我覺得自己屬於這所學校。,I feel like I belong at school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=22.77 | 同意=62.21 | 不同意=11.33 | 非常不同意=3.69,非常同意=22.23 | 同意=53.96 | 不同意=16.9 | 非常不同意=6.92,Table I.B1.3.62
ST034Q04TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,我在學校裡覺得尷尬、格格不入。,I feel awkward and out of place in my school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=4.51 | 同意=17.45 | 不同意=48.62 | 非常不同意=29.41,非常同意=5.19 | 同意=14.02 | 不同意=42.99 | 非常不同意=37.8,Table I.B1.3.62
ST034Q05TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,其他同學似乎喜歡我。,Other students seem to like me.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=9.03 | 同意=53.54 | 不同意=31.32 | 非常不同意=6.11,非常同意=19.31 | 同意=63.81 | 不同意=12.91 | 非常不同意=3.97,Table I.B1.3.62
ST034Q06TA,ST034,學校歸屬感,Students' sense of belonging,想想你的學校：你同意以下說法到什麼程度？,Thinking about your school: to what extent do you agree with the following statements?,我在學校覺得孤單。,I feel lonely at school.,非常同意 | 同意 | 不同意 | 非常不同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常同意=2.98 | 同意=9.45 | 不同意=47.21 | 非常不同意=40.36,非常同意=4.03 | 同意=9.31 | 不同意=37.45 | 非常不同意=49.21,Table I.B1.3.62
ST038Q04NA,ST038,遭受霸凌,Students' exposure to bullying,過去 12 個月內，你在學校多常遇到以下情況？,"During the past 12 months, how often have you had the following experiences in school?",其他同學取笑我。,Other students made fun of me.,從不或幾乎從不 | 一年幾次 | 一個月幾次 | 一週一次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,從不或幾乎從不=75.05 | 一年幾次=15.2 | 一個月幾次=5.52 | 一週一次以上=4.24,從不或幾乎從不=64.95 | 一年幾次=21.28 | 一個月幾次=7.51 | 一週一次以上=6.25,Table I.B1.4.138
ST038Q05NA,ST038,遭受霸凌,Students' exposure to bullying,過去 12 個月內，你在學校多常遇到以下情況？,"During the past 12 months, how often have you had the following experiences in school?",我被其他同學威脅。,I was threatened by other students.,從不或幾乎從不 | 一年幾次 | 一個月幾次 | 一週一次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,從不或幾乎從不=97.01 | 一年幾次=1.93 | 一個月幾次=0.56 | 一週一次以上=0.5,從不或幾乎從不=88.13 | 一年幾次=7.85 | 一個月幾次=2.05 | 一週一次以上=1.97,Table I.B1.4.138
ST038Q07NA,ST038,遭受霸凌,Students' exposure to bullying,過去 12 個月內，你在學校多常遇到以下情況？,"During the past 12 months, how often have you had the following experiences in school?",我被其他同學打或推擠。,I got hit or pushed around by other students.,從不或幾乎從不 | 一年幾次 | 一個月幾次 | 一週一次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,從不或幾乎從不=97.99 | 一年幾次=1.19 | 一個月幾次=0.3 | 一週一次以上=0.52,從不或幾乎從不=86.42 | 一年幾次=8.64 | 一個月幾次=2.49 | 一週一次以上=2.45,Table I.B1.4.138
