代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,中文來源,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
IC170Q01JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",桌上型電腦或筆記型電腦,官方,Desktop or laptop computer,從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q02JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",智慧型手機（即可上網的手機),官方,Smartphone (i.e. mobile phone with Internet access),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q03JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",平板設備（如iPad®、GalaxyTablet®）或電子書閱讀器（如Kobo®、mooInk）,官方,"<Tablet device> (e.g.<iPad®>, < Galaxy Tablet®>,) or <e-book reader> (e.g. <Amazon® Kindle™>, <Kobo®>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q04JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",網路連結（智慧型手機除外）,官方,Internet access (except on smartphones),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q05JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",學校入口網站（查看課表、出缺席狀況等）,官方,"School portal (to consult timetable, absences, etc.)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q06JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",教育軟體、遊戲或應用程式、其他學習工具（如 CK-12™、Lucidchart或 Mathalicious®線上支援）,官方,"Educational software, games or Apps, other learning tools (e.g. <CK-12™>, <Lucidchart>, or <Mathalicious®> online support)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q07JA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",學習管理系統或學校學習平台（如Blackboard®、Moodle®、Google®Classroom™、TronClass）,官方,"A learning management system or school learning platform (e.g. <Blackboard®>, <Edmodo®>, <Moodle®>, <Google® Classroom™>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q08DA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?","虛擬實境 (VR) 穿戴裝置（例如GoogleCardboard®、Oculus、ClassVR, HTC Vive）",官方,"<Virtual reality (VR) hardware> (e.g. <Google Cardboard®>, <Oculus>, <Class VR>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q09DA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?",機器人設備（例如3D 列印、雷射切割機、無人機）,官方,"Robotic devices (e.g <3D printers>, <laser cutters>, <drones>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q10DA,IC170,,,本學年，你在學校有多常使用以下數位資源？,"This school year, how often did you use the following <digital resources> at school?","人工智慧(AI)工具或軟體（如ChatGPT、MidJourney、Stable Diffusion,Tome, PicCraft）",官方,"<Artificial Intelligence (AI)> tools or software (e.g. <ChatGPT>, <MidJourney>, <Stable Diffusion>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
